timestamp,voltage_kV,current_A,frequency_Hz,power_factor,button_status,temperature_C,vibration_mms,oil_cooling_status,conductivity_uScm,anomaly,anomaly_type
2025-01-01 00:00:00,165.37,329.53,49.988,0.925,Green,48.07,1.3,Normal,0.519,0,Normal
2025-01-01 00:05:00,157.02,280.0,49.985,1.0,Green,47.71,1.49,Normal,0.613,0,Normal
2025-01-01 00:10:00,152.19,368.74,49.937,0.918,Green,41.08,1.08,Normal,0.526,0,Normal
2025-01-01 00:15:00,159.54,365.78,49.707,0.991,Green,36.12,1.2,Normal,0.473,0,Normal
2025-01-01 00:20:00,159.28,348.99,50.051,0.955,Green,43.02,1.24,Normal,0.495,0,Normal
2025-01-01 00:25:00,161.37,235.26,49.884,1.0,Green,47.6,1.34,Normal,0.573,0,Normal
2025-01-01 00:30:00,160.12,370.81,49.942,1.0,Green,46.36,1.13,Normal,0.598,0,Normal
2025-01-01 00:35:00,151.44,278.72,49.761,0.92,Green,45.13,1.08,Normal,0.404,0,Normal
2025-01-01 00:40:00,151.28,296.96,50.011,0.925,Red,60.48,3.95,Low Oil,1.799,1,High Temp;High Vibration;Low Oil;Insulation Issue
2025-01-01 00:45:00,153.87,255.17,50.267,0.895,Green,44.26,1.29,Normal,0.623,0,Normal
2025-01-01 00:50:00,149.11,436.73,49.984,0.929,Green,52.22,1.26,Normal,0.468,0,Normal
2025-01-01 00:55:00,151.1,312.21,49.882,0.971,Green,40.65,1.36,Normal,0.609,0,Normal
2025-01-01 01:00:00,150.53,366.73,50.153,0.896,Green,45.88,1.43,Normal,0.568,0,Normal
2025-01-01 01:05:00,170.19,365.89,49.707,0.935,Green,46.37,1.16,Normal,0.437,0,Normal
2025-01-01 01:10:00,156.03,279.44,49.665,1.0,Green,47.15,1.48,Normal,0.597,0,Normal
2025-01-01 01:15:00,148.89,315.47,49.904,0.972,Green,43.9,1.45,Normal,0.691,0,Normal
2025-01-01 01:20:00,158.78,321.99,50.221,1.0,Green,45.72,1.2,Normal,0.552,0,Normal
2025-01-01 01:25:00,156.56,350.33,49.692,0.952,Green,44.76,1.2,Normal,0.407,0,Normal
2025-01-01 01:30:00,164.24,342.6,50.101,0.892,Green,44.94,1.16,Normal,0.682,0,Normal
2025-01-01 01:35:00,154.16,287.25,49.548,0.92,Green,40.13,1.45,Normal,0.47,0,Normal
2025-01-01 01:40:00,159.44,274.22,50.142,1.0,Green,44.49,1.33,Normal,0.577,0,Normal
2025-01-01 01:45:00,157.42,352.96,50.327,0.926,Green,44.92,1.32,Normal,0.42,0,Normal
2025-01-01 01:50:00,146.97,279.05,50.186,0.892,Green,45.84,1.35,Normal,0.548,0,Normal
2025-01-01 01:55:00,153.42,330.48,49.815,0.95,Green,47.89,1.31,Normal,0.555,0,Normal
2025-01-01 02:00:00,159.41,240.58,49.981,0.944,Green,44.45,1.45,Normal,0.478,0,Normal
2025-01-01 02:05:00,152.81,271.15,49.858,0.988,Green,45.18,1.07,Normal,0.514,0,Normal
2025-01-01 02:10:00,154.1,321.43,49.731,0.965,Green,47.14,1.41,Normal,0.571,0,Normal
2025-01-01 02:15:00,144.75,367.21,49.668,0.91,Green,44.93,1.25,Normal,0.591,0,Normal
2025-01-01 02:20:00,154.85,410.59,50.102,0.93,Green,50.6,1.44,Normal,0.665,0,Normal
2025-01-01 02:25:00,156.27,320.71,49.961,0.918,Green,43.56,1.0,Normal,0.581,0,Normal
2025-01-01 02:30:00,161.07,292.33,50.079,1.0,Green,43.34,1.47,Normal,0.491,0,Normal
2025-01-01 02:35:00,159.1,326.0,49.965,0.909,Green,46.24,1.02,Normal,0.586,0,Normal
2025-01-01 02:40:00,150.64,401.21,49.773,0.895,Green,48.11,1.11,Normal,0.437,0,Normal
2025-01-01 02:45:00,156.2,350.38,49.724,1.0,Green,48.74,1.18,Normal,0.571,0,Normal
2025-01-01 02:50:00,144.09,374.26,50.493,0.985,Green,40.85,1.23,Normal,0.559,0,Normal
2025-01-01 02:55:00,156.41,302.51,50.321,0.992,Green,47.51,1.41,Normal,0.569,0,Normal
2025-01-01 03:00:00,151.53,371.58,49.988,0.97,Green,46.72,1.23,Normal,0.426,0,Normal
2025-01-01 03:05:00,153.31,312.72,49.968,0.939,Green,45.16,1.48,Normal,0.692,0,Normal
2025-01-01 03:10:00,155.72,366.19,50.166,0.965,Green,43.83,1.15,Normal,0.699,0,Normal
2025-01-01 03:15:00,155.52,384.76,50.038,0.926,Green,44.87,1.33,Normal,0.631,0,Normal
2025-01-01 03:20:00,152.01,364.09,50.192,1.0,Green,42.15,1.19,Normal,0.438,0,Normal
2025-01-01 03:25:00,145.43,341.58,50.463,0.914,Green,47.1,1.38,Normal,0.566,0,Normal
2025-01-01 03:30:00,159.72,287.67,50.216,0.892,Green,47.52,1.4,Normal,0.577,0,Normal
2025-01-01 03:35:00,152.14,366.35,50.318,1.0,Green,43.84,1.27,Normal,0.592,0,Normal
2025-01-01 03:40:00,152.39,390.04,49.773,0.954,Green,41.23,1.36,Normal,0.438,0,Normal
2025-01-01 03:45:00,157.92,354.5,49.817,0.947,Green,46.76,1.11,Normal,0.574,0,Normal
2025-01-01 03:50:00,159.67,296.28,49.692,0.967,Green,43.3,1.11,Normal,0.504,0,Normal
2025-01-01 03:55:00,149.95,219.04,50.01,0.894,Green,41.95,1.03,Normal,0.696,0,Normal
2025-01-01 04:00:00,164.98,277.78,50.175,0.998,Green,47.64,1.24,Normal,0.476,0,Normal
2025-01-01 04:05:00,157.2,335.69,49.845,0.941,Red,62.72,3.24,Critical Oil,1.129,1,High Temp;High Vibration;Critical Oil Level
2025-01-01 04:10:00,167.01,309.93,49.855,0.873,Green,42.23,1.17,Normal,0.433,0,Normal
2025-01-01 04:15:00,163.35,378.95,49.941,0.915,Green,40.96,1.13,Normal,0.679,0,Normal
2025-01-01 04:20:00,163.39,292.98,49.959,0.976,Green,48.46,1.28,Normal,0.545,0,Normal
2025-01-01 04:25:00,158.12,316.88,49.813,0.974,Red,57.22,3.68,Low Oil,1.764,1,High Temp;High Vibration;Low Oil;Insulation Issue
2025-01-01 04:30:00,153.39,337.26,50.101,0.919,Green,44.89,1.35,Normal,0.646,0,Normal
